code,name,trade_date,open,close,high,low,volume
000001,平安银行,2021/3/4,22.77,22.92,23.49,22.65,121357937
000001,平安银行,2021/3/5,22.7,22.34,22.98,21.86,88017141
000001,平安银行,2021/3/8,22.44,21.6,22.69,21.48,99377397
000001,平安银行,2021/3/9,21.68,20.85,21.92,20.58,136189533
000001,平安银行,2021/3/10,20.84,20.4,20.91,20.28,114941657
000001,平安银行,2021/3/11,20.58,21.27,21.38,20.56,104865939
000001,平安银行,2021/3/12,21.37,21.48,21.7,21.2,69720060
000001,平安银行,2021/3/15,21.4,21.6,22.12,21.11,95874870
000001,平安银行,2021/3/16,21.6,21.66,22.11,21.27,93968432
000001,平安银行,2021/3/17,21.45,21.2,21.55,20.9,82148865
000001,平安银行,2021/3/18,21.3,21.73,21.73,21,69161019
000001,平安银行,2021/3/19,21.53,20.47,21.65,20.37,152562227
000001,平安银行,2021/3/22,20.55,21.55,21.55,20.53,145119008
000001,平安银行,2021/3/23,21.57,21.23,21.65,20.96,68290338
000001,平安银行,2021/3/24,21.21,20.53,21.28,20.45,85008507
000001,平安银行,2021/3/25,20.58,20.75,20.83,20.4,49266574
000001,平安银行,2021/3/26,20.84,21.14,21.4,20.76,82210806
000001,平安银行,2021/3/29,21.28,21.49,21.65,21.2,78566668
000001,平安银行,2021/3/30,21.38,21.93,21.93,21.21,73865481
000001,平安银行,2021/3/31,21.77,22.01,22.07,21.6,77702807
000001,平安银行,2021/4/1,22.08,21.78,22.11,21.5,54444898
000001,平安银行,2021/4/2,21.7,21.5,21.73,21.36,58108352
000001,平安银行,2021/4/6,21.55,21.68,22.09,21.51,40110282
000001,平安银行,2021/4/7,21.88,21.64,21.93,21.31,51760459
000001,平安银行,2021/4/8,21.46,21.56,21.73,21.33,38302950
000001,平安银行,2021/4/9,21.71,21.3,21.72,21.08,39896028
000001,平安银行,2021/4/12,21.51,20.7,21.51,20.63,59474314
000001,平安银行,2021/4/13,20.72,20.78,20.88,20.59,49990418
000001,平安银行,2021/4/14,20.79,20.67,20.94,20.42,53743849
000001,平安银行,2021/4/15,20.76,20.36,20.77,20.08,73586505
000001,平安银行,2021/4/16,20.36,20.26,20.43,19.81,72999826
000001,平安银行,2021/4/19,20.03,21.15,21.24,19.91,111228262
000001,平安银行,2021/4/20,21.08,21.69,21.95,20.92,83477272
000001,平安银行,2021/4/21,22.3,23.01,23.19,22.29,159709965
000001,平安银行,2021/4/22,23.19,22.98,23.23,22.78,82969388
000001,平安银行,2021/4/23,23.32,23.29,23.65,23.07,82323015
000001,平安银行,2021/4/26,23.87,22.94,24.23,22.9,87241767
000001,平安银行,2021/4/27,22.95,22.94,23.19,22.86,47043140
000001,平安银行,2021/4/28,23.29,23.35,23.45,22.78,59383793
000001,平安银行,2021/4/29,23.34,23.59,23.71,23.11,61483688
000001,平安银行,2021/4/30,23.35,23.29,23.49,23.01,56198132
000001,平安银行,2021/5/6,23.1,23.5,23.7,23.1,50029522
000001,平安银行,2021/5/7,23.67,24.05,24.3,23.39,80221421
000001,平安银行,2021/5/10,24,23.86,24.04,23.02,66143890
000001,平安银行,2021/5/11,23.62,23.53,23.75,23.06,49722345
000001,平安银行,2021/5/12,23.29,23.55,23.64,22.88,53326526
000001,平安银行,2021/5/13,23.52,23.07,23.59,22.84,54965250
000001,平安银行,2021/5/14,23.14,23.32,23.43,22.6,56378536
000001,平安银行,2021/5/17,23.15,23.6,23.82,22.95,52756465
000001,平安银行,2021/5/18,23.85,23.9,24.11,23.4,39541498
000001,平安银行,2021/5/19,23.82,23.6,24.13,23.52,42942033
000001,平安银行,2021/5/20,23.41,23.82,23.84,23.27,40578837
000001,平安银行,2021/5/21,23.88,23.49,24.09,23.03,53933574
000001,平安银行,2021/5/24,23.48,23.48,23.6,23.19,34393563
000001,平安银行,2021/5/25,23.54,24.6,24.73,23.45,97237462
000001,平安银行,2021/5/26,24.64,25.01,25.12,24.5,91926378
000001,平安银行,2021/5/27,24.91,24.79,25.16,24.52,50409136
000001,平安银行,2021/5/28,24.68,24.5,24.71,24.16,49240073
000001,平安银行,2021/5/31,24.33,24.2,24.53,23.91,51535081
000001,平安银行,2021/6/1,24.2,23.92,24.25,23.5,62501796
000001,平安银行,2021/6/2,23.89,23.89,23.92,23.38,49752702
000001,平安银行,2021/6/3,23.72,23.77,24.14,23.68,40090085
000001,平安银行,2021/6/4,23.99,24.54,24.96,23.8,75673942
000001,平安银行,2021/6/7,24.48,24.3,24.48,23.93,44791410
000001,平安银行,2021/6/8,24.15,24.53,24.57,23.95,57007792
000001,平安银行,2021/6/9,24.43,24.65,24.88,24.18,45383150
000001,平安银行,2021/6/10,24.66,24.2,25.06,24.15,53021516
000001,平安银行,2021/6/11,24.31,23.37,24.35,23.12,83466504
000001,平安银行,2021/6/15,23.35,23.22,23.43,22.8,66062259
000001,平安银行,2021/6/16,23.22,23.26,23.4,23.01,37820804
000001,平安银行,2021/6/17,23.02,23.1,23.69,23.02,45328209
000001,平安银行,2021/6/18,23.13,22.65,23.28,22.39,69409930
000001,平安银行,2021/6/21,22.6,22.16,22.67,22.01,71827274
000001,平安银行,2021/6/22,22.38,22.97,23.09,22.25,75775141
000001,平安银行,2021/6/23,22.85,23.14,23.41,22.72,44790778
000001,平安银行,2021/6/24,23.03,23.08,23.12,22.68,39028349
000001,平安银行,2021/6/25,23.08,23.36,23.6,23.06,55997295
000001,平安银行,2021/6/28,23.36,22.78,23.39,22.48,62625737
000001,平安银行,2021/6/29,22.58,22.34,22.79,22,104974939
000001,平安银行,2021/6/30,22.36,22.62,22.93,22.35,40343546
000001,平安银行,2021/7/1,22.81,23.2,23.5,22.52,66483330
000001,平安银行,2021/7/2,22.72,21.81,22.74,21.76,107067756
000001,平安银行,2021/7/5,21.69,22.06,22.15,21.09,85934129
000001,平安银行,2021/7/6,22.08,22.78,23,21.85,79195726
000001,平安银行,2021/7/7,22.68,22.55,23.05,22.5,46894487
000001,平安银行,2021/7/8,22.78,21.51,22.78,21.2,145705947
000001,平安银行,2021/7/9,21.3,21.27,21.63,21.02,76236474
000001,平安银行,2021/7/12,21.5,21.16,21.5,20.89,87790102
000001,平安银行,2021/7/13,21.15,21.12,21.34,20.54,65761395
000001,平安银行,2021/7/14,21,20.76,21,20.41,84795055
000001,平安银行,2021/7/15,20.72,21.62,21.72,20.63,95600305
000001,平安银行,2021/7/16,21.41,21.34,21.82,21.3,57300261
000001,平安银行,2021/7/19,21.36,21.21,21.43,20.78,52213595
000001,平安银行,2021/7/20,21.1,20.6,21.2,20.47,80403433
000001,平安银行,2021/7/21,20.58,20.45,20.8,20.2,75307652
000001,平安银行,2021/7/22,20.45,20.38,20.66,20.24,86864809
000001,平安银行,2021/7/23,20.38,20.1,20.38,20,72740433
000001,平安银行,2021/7/26,19.96,18.8,19.99,18.43,145130394
000001,平安银行,2021/7/27,18.87,17.76,18.99,17.6,135755148
